回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2025-03-01,2026-02-28,11.0,5.0,10,20.0,446284.18,44.63,711,36.15
2025-03-01,2026-02-28,13.0,4.0,6,20.0,445853.2,44.59,802,38.78
2025-03-01,2026-02-28,10.0,8.0,9,20.0,445214.29,44.52,680,42.35
2025-03-01,2026-02-28,12.0,6.0,5,20.0,442893.13,44.29,756,44.18
2025-03-01,2026-02-28,13.0,5.0,8,25.0,440191.29,44.02,676,38.31
2025-03-01,2026-02-28,15.0,4.0,6,20.0,439565.78,43.96,796,38.07
2025-03-01,2026-02-28,9.0,7.0,5,25.0,438851.13,43.89,759,45.72
2025-03-01,2026-02-28,13.0,5.0,7,20.0,436896.79,43.69,765,40.52
2025-03-01,2026-02-28,8.0,5.0,10,25.0,436228.41,43.62,721,38.0
2025-03-01,2026-02-28,10.0,5.0,9,25.0,434747.4,43.47,696,38.51
2025-03-01,2026-02-28,8.0,6.0,9,20.0,433786.64,43.38,679,40.21
2025-03-01,2026-02-28,10.0,4.0,6,20.0,432164.7,43.22,856,39.25
2025-03-01,2026-02-28,9.0,3.0,6,20.0,432102.06,43.21,870,38.16
2025-03-01,2026-02-28,10.0,3.0,6,20.0,432024.62,43.2,821,35.57
2025-03-01,2026-02-28,9.0,7.0,6,25.0,430488.5,43.05,783,43.3
2025-03-01,2026-02-28,9.0,3.0,9,20.0,429544.16,42.95,795,33.08
2025-03-01,2026-02-28,11.0,5.0,9,25.0,427067.25,42.71,699,36.91
2025-03-01,2026-02-28,9.0,5.0,7,20.0,426059.52,42.61,734,41.14
2025-03-01,2026-02-28,12.0,8.0,9,25.0,424578.95,42.46,651,42.4
2025-03-01,2026-02-28,8.0,3.0,10,25.0,424172.61,42.42,759,35.31
2025-03-01,2026-02-28,11.0,8.0,5,25.0,422622.2,42.26,735,45.58
2025-03-01,2026-02-28,14.0,5.0,5,20.0,421401.44,42.14,774,43.41
2025-03-01,2026-02-28,15.0,6.0,5,25.0,421424.38,42.14,792,45.45
2025-03-01,2026-02-28,11.0,5.0,8,25.0,419408.75,41.94,729,37.86
2025-03-01,2026-02-28,13.0,5.0,7,25.0,418395.14,41.84,713,39.97
2025-03-01,2026-02-28,9.0,4.0,7,25.0,417794.22,41.78,757,38.31
2025-03-01,2026-02-28,11.0,7.0,5,20.0,414828.64,41.48,790,45.19
2025-03-01,2026-02-28,15.0,7.0,9,20.0,414838.02,41.48,673,37.0
2025-03-01,2026-02-28,13.0,6.0,9,25.0,413861.39,41.39,651,37.02
2025-03-01,2026-02-28,13.0,5.0,9,25.0,413425.26,41.34,666,38.14
2025-03-01,2026-02-28,10.0,4.0,7,20.0,413241.39,41.32,774,38.24
2025-03-01,2026-02-28,11.0,6.0,9,20.0,412986.46,41.3,706,37.54
2025-03-01,2026-02-28,12.0,8.0,5,20.0,412826.23,41.28,755,45.56
2025-03-01,2026-02-28,10.0,6.0,5,25.0,408139.04,40.81,795,44.78
2025-03-01,2026-02-28,10.0,3.0,5,25.0,407599.12,40.76,809,38.32
2025-03-01,2026-02-28,14.0,3.0,8,20.0,404361.96,40.44,736,33.56
2025-03-01,2026-02-28,14.0,3.0,6,25.0,401809.43,40.18,717,33.75
2025-03-01,2026-02-28,12.0,3.0,9,20.0,401753.33,40.18,677,31.91
2025-03-01,2026-02-28,9.0,6.0,10,25.0,400960.46,40.1,696,40.09
2025-03-01,2026-02-28,8.0,7.0,7,25.0,399319.23,39.93,740,45.81
2025-03-01,2026-02-28,8.0,6.0,10,25.0,398952.77,39.9,711,37.41
2025-03-01,2026-02-28,9.0,8.0,10,25.0,399013.75,39.9,671,41.73
2025-03-01,2026-02-28,13.0,6.0,7,25.0,398939.64,39.89,720,40.0
2025-03-01,2026-02-28,8.0,4.0,7,20.0,398034.54,39.8,879,39.59
2025-03-01,2026-02-28,8.0,3.0,6,20.0,397789.87,39.78,883,37.71
2025-03-01,2026-02-28,9.0,6.0,6,25.0,397731.76,39.77,745,43.62
2025-03-01,2026-02-28,10.0,8.0,5,25.0,397248.41,39.72,716,46.23
2025-03-01,2026-02-28,15.0,5.0,7,20.0,396817.37,39.68,749,39.92
2025-03-01,2026-02-28,8.0,6.0,10,20.0,393198.99,39.32,726,38.57
2025-03-01,2026-02-28,15.0,8.0,9,20.0,392470.26,39.25,638,38.09
2025-03-01,2026-02-28,9.0,4.0,5,20.0,389969.65,39.0,858,40.79
2025-03-01,2026-02-28,13.0,3.0,6,25.0,389916.29,38.99,734,34.74
2025-03-01,2026-02-28,15.0,8.0,9,25.0,386773.63,38.68,654,39.6
2025-03-01,2026-02-28,8.0,7.0,6,25.0,384107.3,38.41,735,44.35
2025-03-01,2026-02-28,13.0,8.0,6,25.0,383387.57,38.34,680,41.91
2025-03-01,2026-02-28,8.0,8.0,8,25.0,381866.63,38.19,687,43.96
2025-03-01,2026-02-28,11.0,4.0,10,25.0,380961.95,38.1,707,35.5
2025-03-01,2026-02-28,9.0,5.0,6,25.0,380014.59,38.0,743,40.92
2025-03-01,2026-02-28,10.0,7.0,5,20.0,379387.41,37.94,822,44.16
2025-03-01,2026-02-28,12.0,7.0,9,20.0,379034.46,37.9,634,39.27
2025-03-01,2026-02-28,12.0,7.0,6,25.0,378793.85,37.88,697,44.19
2025-03-01,2026-02-28,11.0,6.0,5,20.0,378671.16,37.87,808,44.43
2025-03-01,2026-02-28,10.0,3.0,5,20.0,378701.67,37.87,860,39.07
2025-03-01,2026-02-28,15.0,8.0,7,20.0,377714.12,37.77,669,41.41
2025-03-01,2026-02-28,9.0,4.0,7,20.0,377025.34,37.7,818,39.85
2025-03-01,2026-02-28,15.0,4.0,9,25.0,375702.46,37.57,717,35.56
2025-03-01,2026-02-28,11.0,4.0,9,25.0,374201.97,37.42,689,34.69
2025-03-01,2026-02-28,13.0,6.0,9,20.0,373831.03,37.38,688,38.95
2025-03-01,2026-02-28,13.0,3.0,5,20.0,372887.09,37.29,854,37.59
2025-03-01,2026-02-28,9.0,3.0,5,25.0,372627.21,37.26,783,38.19
2025-03-01,2026-02-28,11.0,4.0,5,25.0,372429.15,37.24,804,41.79
2025-03-01,2026-02-28,12.0,6.0,10,20.0,369154.18,36.92,711,35.86
2025-03-01,2026-02-28,12.0,8.0,6,25.0,369184.66,36.92,647,42.66
2025-03-01,2026-02-28,11.0,6.0,8,25.0,368747.88,36.87,712,38.9
2025-03-01,2026-02-28,14.0,5.0,8,25.0,368631.2,36.86,666,40.24
2025-03-01,2026-02-28,15.0,3.0,9,20.0,368385.74,36.84,696,31.61
2025-03-01,2026-02-28,13.0,3.0,7,25.0,367710.83,36.77,746,34.32
2025-03-01,2026-02-28,15.0,8.0,7,25.0,365082.52,36.51,624,40.71
2025-03-01,2026-02-28,14.0,6.0,10,25.0,363872.53,36.39,629,36.88
