回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2022-03-01,2023-02-28,14.0,8.0,14,25.0,-387144.32,-38.71,356,26.97
2022-03-01,2023-02-28,13.0,3.0,10,25.0,-387101.32,-38.71,438,25.11
2022-03-01,2023-02-28,12.0,3.0,15,20.0,-387456.89,-38.75,460,21.3
2022-03-01,2023-02-28,8.0,10.0,11,25.0,-387610.14,-38.76,367,30.79
2022-03-01,2023-02-28,15.0,8.0,13,25.0,-387600.15,-38.76,347,30.55
2022-03-01,2023-02-28,10.0,4.0,12,20.0,-387571.45,-38.76,399,27.32
2022-03-01,2023-02-28,6.0,7.0,15,20.0,-387572.25,-38.76,427,34.66
2022-03-01,2023-02-28,6.0,3.0,10,20.0,-387612.98,-38.76,473,30.66
2022-03-01,2023-02-28,9.0,9.0,12,25.0,-387738.83,-38.77,390,30.26
2022-03-01,2023-02-28,15.0,5.0,13,20.0,-388317.42,-38.83,385,25.97
2022-03-01,2023-02-28,7.0,8.0,7,20.0,-388429.2,-38.84,399,34.84
2022-03-01,2023-02-28,15.0,8.0,14,20.0,-388385.52,-38.84,332,28.61
2022-03-01,2023-02-28,11.0,9.0,14,20.0,-388453.03,-38.85,381,27.82
2022-03-01,2023-02-28,13.0,10.0,7,20.0,-388680.92,-38.87,370,31.89
2022-03-01,2023-02-28,14.0,3.0,12,20.0,-389146.59,-38.91,420,21.9
2022-03-01,2023-02-28,10.0,7.0,15,25.0,-389354.04,-38.94,367,29.7
2022-03-01,2023-02-28,12.0,7.0,8,20.0,-389380.06,-38.94,420,32.14
2022-03-01,2023-02-28,9.0,5.0,10,20.0,-389843.03,-38.98,457,30.63
2022-03-01,2023-02-28,7.0,8.0,8,25.0,-389778.97,-38.98,381,35.17
2022-03-01,2023-02-28,6.0,3.0,9,20.0,-389825.35,-38.98,476,30.67
2022-03-01,2023-02-28,13.0,8.0,5,25.0,-389768.5,-38.98,473,38.05
2022-03-01,2023-02-28,11.0,10.0,9,20.0,-389833.99,-38.98,398,31.41
2022-03-01,2023-02-28,10.0,3.0,14,20.0,-389983.86,-39.0,486,23.46
2022-03-01,2023-02-28,9.0,4.0,8,20.0,-390164.66,-39.02,455,26.15
2022-03-01,2023-02-28,14.0,9.0,7,25.0,-390444.79,-39.04,343,32.07
2022-03-01,2023-02-28,9.0,6.0,8,25.0,-390474.14,-39.05,438,34.25
2022-03-01,2023-02-28,9.0,5.0,12,20.0,-390460.21,-39.05,441,29.48
2022-03-01,2023-02-28,11.0,10.0,13,20.0,-390591.89,-39.06,373,27.88
2022-03-01,2023-02-28,9.0,10.0,8,25.0,-390554.56,-39.06,400,36.0
2022-03-01,2023-02-28,15.0,8.0,5,25.0,-390751.81,-39.08,481,35.34
2022-03-01,2023-02-28,11.0,3.0,12,20.0,-390989.96,-39.1,454,23.35
2022-03-01,2023-02-28,13.0,10.0,12,25.0,-391134.91,-39.11,332,27.41
2022-03-01,2023-02-28,12.0,7.0,5,25.0,-391203.21,-39.12,485,36.29
2022-03-01,2023-02-28,10.0,7.0,11,25.0,-392584.26,-39.26,392,31.38
2022-03-01,2023-02-28,11.0,5.0,15,20.0,-392567.76,-39.26,401,27.18
